allow_backorders,attribute_set_code,display_product_options_in,enable_googlecheckout,enable_qty_increments,eol_date,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,manage_stock,max_cart_qty,min_cart_qty,name,notify_on_stock_below,out_of_stock_qty,page_layout,price,product_online,product_type,product_websites,qty,qty_increments,safety_bsmi,safety_cb_ite,safety_ccc,safety_cd_med,safety_csa,safety_demko,safety_list,safety_tuv,safety_ul_ite,safety_ul_med,safety_vde,series_3d_details,series_3d_iges,series_3d_pdf,series_3d_solidworks,series_3d_step,series_datasheet,series_primary,series_status,series_type,sku,store_view_code,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,visibility,website_id
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2700,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_2700.pdf,Yes,Recommended In Production,Magnetic,series_2700,,2700,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2700T ,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_2700t.pdf,Yes,Recommended In Production,Magnetic,series_2700T,,2700t,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,2800,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_2800_smt_a.igs,/3d/magnetics/mps_mag_2800_smt_a.pdf,/3d/magnetics/mps_mag_2800_smt_a.sldprt,/3d/magnetics/mps_mag_2800_smt_a.step.zip,/data/magnetics/kmp_2800.pdf,Yes,Discontinued,Magnetic,series_2800,,2800,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2900,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_2900.pdf,Yes,Recommended In Production,Magnetic,series_2900,,2900,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,2900L,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_2900l.pdf,Yes,Discontinued,Magnetic,series_2900L,,2900l,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3000A,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_3000a_smt_a.igs,/3d/magnetics/mps_mag_3000a_smt_a.pdf,/3d/magnetics/mps_mag_3000a_smt_a.sldprt,/3d/magnetics/mps_mag_3000a_smt_a.step.zip,/data/magnetics/kmp_3000a.pdf,Yes,Recommended In Production,Magnetic,series_3000A,,3000a,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3000B,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_3000b_smt_a.igs,/3d/magnetics/mps_mag_3000b_smt_a.pdf,/3d/magnetics/mps_mag_3000b_smt_a.sldprt,/3d/magnetics/mps_mag_3000b_smt_a.step.zip,/data/magnetics/kmp_3000b.pdf,Yes,Recommended In Production,Magnetic,series_3000B,,3000b,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3200,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_3200.pdf,Yes,Recommended In Production,Magnetic,series_3200,,3200,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3300,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_3300.pdf,Yes,Recommended In Production,Magnetic,series_3300,,3300,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3400,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_3400.pdf,Yes,Recommended In Production,Magnetic,series_3400,,3400,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,3400L,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_3400l.pdf,Yes,Discontinued,Magnetic,series_3400L,,3400l,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,3500,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_3500_smt_a.igs,/3d/magnetics/mps_mag_3500_smt_a.pdf,/3d/magnetics/mps_mag_3500_smt_a.sldprt,/3d/magnetics/mps_mag_3500_smt_a.step.zip,/data/magnetics/kmp_3500.pdf,Yes,Discontinued,Magnetic,series_3500,,3500,1,1,1,1,1,1,1,1,Catalog,0
