sku,store_view_code,attribute_set_code,product_websites,name,rfm_spec_temp_range,rfm_spec_temp_max,rfm_spec_temp_min
SF2159E,,RFM - SAW Filter,"wireless,base",SF2159E, -40 to +85,85,-40
SF2160E,,RFM - SAW Filter,"wireless,base",SF2160E, -40 to +85,85,-40
SF2162E,,RFM - SAW Filter,"wireless,base",SF2162E, -40 to +85,85,-40
SF2163E,,RFM - SAW Filter,"wireless,base",SF2163E, -40 to +85,85,-40
SF2164E,,RFM - SAW Filter,"wireless,base",SF2164E, -40 to +85,85,-40
SF2165E,,RFM - SAW Filter,"wireless,base",SF2165E, -40 to +85,85,-40
SF2166E,,RFM - SAW Filter,"wireless,base",SF2166E, -40 to +85,85,-40
SF2167E,,RFM - SAW Filter,"wireless,base",SF2167E, -40 to +85,85,-40
SF2168E,,RFM - SAW Filter,"wireless,base",SF2168E, -40 to +85,85,-40
SF2169E,,RFM - SAW Filter,"wireless,base",SF2169E, -40 to +85,85,-40
SF2170D,,RFM - SAW Filter,"wireless,base",SF2170D, -40 to +85,85,-40
SF2172C,,RFM - SAW Filter,"wireless,base",SF2172C, -40 to +85,85,-40
SF2173E,,RFM - SAW Filter,"wireless,base",SF2173E, -40 to +85,85,-40
SF2176E,,RFM - SAW Filter,"wireless,base",SF2176E, -40 to +105,105,-40
SF2177E,,RFM - SAW Filter,"wireless,base",SF2177E, -40 to +85,85,-40
SF2178A,,RFM - SAW Filter,"wireless,base",SF2178A, -40 to +85,85,-40
SF2181D,,RFM - SAW Filter,"wireless,base",SF2181D, -40 to +85,85,-40
SF2182D,,RFM - SAW Filter,"wireless,base",SF2182D, -40 to +85,85,-40
SF2183E,,RFM - SAW Filter,"wireless,base",SF2183E, -40 to +85,85,-40
SF2185A,,RFM - SAW Filter,"wireless,base",SF2185A, -40 to +85,85,-40
SF2185A-1,,RFM - SAW Filter,"wireless,base",SF2185A-1, -40 to +85,85,-40
SF2186E,,RFM - SAW Filter,"wireless,base",SF2186E, -40 to +85,85,-40
SF2188C,,RFM - SAW Filter,"wireless,base",SF2188C, -40 to +85,85,-40
SF2188D,,RFM - SAW Filter,"wireless,base",SF2188D, -40 to +85,85,-40
SF2190B,,RFM - SAW Filter,"wireless,base",SF2190B, -40 to +85,85,-40
SF2197E,,RFM - SAW Filter,"wireless,base",SF2197E, -40 to + 105,105,-40
SF2198E,,RFM - SAW Filter,"wireless,base",SF2198E, -40 to +85,85,-40
SF2199E,,RFM - SAW Filter,"wireless,base",SF2199E, -40 to +85,85,-40
SF2200E,,RFM - SAW Filter,"wireless,base",SF2200E, -40 to +85,85,-40
SF2202E-1,,RFM - SAW Filter,"wireless,base",SF2202E-1, -40 to +95,95,-40
SF2204E-1,,RFM - SAW Filter,"wireless,base",SF2204E-1, -40 to +85,85,-40
SF2206E,,RFM - SAW Filter,"wireless,base",SF2206E, -40 to +85,85,-40
SF2222C,,RFM - SAW Filter,"wireless,base",SF2222C, -40 to +85,85,-40
SF2223D,,RFM - SAW Filter,"wireless,base",SF2223D, -40 to +85,85,-40
SF2224E,,RFM - SAW Filter,"wireless,base",SF2224E, -40 to +105,105,-40
SF2228A,,RFM - SAW Filter,"wireless,base",SF2228A, -40 to +80,80,-40
SF2234E,,RFM - SAW Filter,"wireless,base",SF2234E, -40 to +85,85,-40
SF2234E-1,,RFM - SAW Filter,"wireless,base",SF2234E-1, -40 to +85,85,-40
SF2235E,,RFM - SAW Filter,"wireless,base",SF2235E, -40 to +105,105,-40
SF2237C,,RFM - SAW Filter,"wireless,base",SF2237C, -40 to +85,85,-40
SF2242B,,RFM - SAW Filter,"wireless,base",SF2242B, -40 to +85,85,-40
SF2247E,,RFM - SAW Filter,"wireless,base",SF2247E, -40 to +85,85,-40
SF2248E,,RFM - SAW Filter,"wireless,base",SF2248E, -40 to +85,85,-40
SF2248E-1 ,,RFM - SAW Filter,"wireless,base",SF2248E-1, -40 to +85,85,-40
SF2249E,,RFM - SAW Filter,"wireless,base",SF2249E, -40 to +85,85,-40
SF2253E,,RFM - SAW Filter,"wireless,base",SF2253E, -40 to +85,85,-40
SF2256E,,RFM - SAW Filter,"wireless,base",SF2256E, -40 to +85,85,-40
SF2258E,,RFM - SAW Filter,"wireless,base",SF2258E, -40 to +85,85,-40
SF2259H,,RFM - SAW Filter,"wireless,base",SF2259H, -40 to +85,85,-40
SF2261E,,RFM - SAW Filter,"wireless,base",SF2261E, -40 to +85,85,-40
SF2271C,,RFM - SAW Filter,"wireless,base",SF2271C, -40 to +85,85,-40
SF2275E-1,,RFM - SAW Filter,"wireless,base",SF2275E-1, -40 to +105,105,-40
SF2281D,,RFM - SAW Filter,"wireless,base",SF2281D, -40 to +85,85,-40
SF2283D,,RFM - SAW Filter,"wireless,base",SF2283D, -40 to +85,85,-40
SF2287E,,RFM - SAW Filter,"wireless,base",SF2287E, -40 to +85,85,-40
SF2289C,,RFM - SAW Filter,"wireless,base",SF2289C, -40 to +85,85,-40
SF2293E,,RFM - SAW Filter,"wireless,base",SF2293E, -40 to +85,85,-40
SF2304B,,RFM - SAW Filter,"wireless,base",SF2304B, -40 to +85,85,-40
SF2314E,,RFM - SAW Filter,"wireless,base",SF2314E, -40 to +85,85,-40
SF2315E,,RFM - SAW Filter,"wireless,base",SF2315E, -40 to +85,85,-40
SF2315E-1,,RFM - SAW Filter,"wireless,base",SF2315E-1, -40 to +85,85,-40
SF2316E,,RFM - SAW Filter,"wireless,base",SF2316E, -40 to +85,85,-40
SF2316E-1,,RFM - SAW Filter,"wireless,base",SF2316E-1, -40 to +85,85,-40
SF2316H,,RFM - SAW Filter,"wireless,base",SF2316H, -40 to +105,105,-40
SF2316H-1,,RFM - SAW Filter,"wireless,base",SF2316H-1, -40 to +105,105,-40
SF2321D,,RFM - SAW Filter,"wireless,base",SF2321D, -40 to +85,85,-40
SF2327E,,RFM - SAW Filter,"wireless,base",SF2327E, -40 to +85,85,-40
SF2353E,,RFM - SAW Filter,"wireless,base",SF2353E, -40 to +85,85,-40
SF2367B,,RFM - SAW Filter,"wireless,base",SF2367B, -40 to +85,85,-40
SF2370H,,RFM - SAW Filter,"wireless,base",SF2370H, -40 to +85,85,-40
SF2375E,,RFM - SAW Filter,"wireless,base",SF2375E, -40 to +85,85,-40
SF2381E,,RFM - SAW Filter,"wireless,base",SF2381E, -40 to +85,85,-40
SF2385H,,RFM - SAW Filter,"wireless,base",SF2385H, -40 to +105,105,-40
SF2388E,,RFM - SAW Filter,"wireless,base",SF2388E, -40 to +105,105,-40
SF2393E,,RFM - SAW Filter,"wireless,base",SF2393E, -40 to +85,85,-40
SF2395E,,RFM - SAW Filter,"wireless,base",SF2395E, -40 to +85,85,-40
SF2395H,,RFM - SAW Filter,"wireless,base",SF2395H, -40 to +105,105,-40
SF2412E,,RFM - SAW Filter,"wireless,base",SF2412E, -40 to +85,85,-40
SF2413E,,RFM - SAW Filter,"wireless,base",SF2413E, -40 to +85,85,-40
SF2415E,,RFM - SAW Filter,"wireless,base",SF2415E, -40 to +85,85,-40
SF2415E-1,,RFM - SAW Filter,"wireless,base",SF2415E-1, -40 to +80,80,-40
SF2416D,,RFM - SAW Filter,"wireless,base",SF2416D, -40 to +85,85,-40
SF2419E,,RFM - SAW Filter,"wireless,base",SF2419E, -40 to +85,85,-40
SF2421D,,RFM - SAW Filter,"wireless,base",SF2421D, -40 to +85,85,-40
SF2423D,,RFM - SAW Filter,"wireless,base",SF2423D, -40 to +85,85,-40
