sku,name,efficiency,input_current,vin_range,mounting_type,i1out,i2out,output_power_total_w,v1out_vdc,v1out_vdc_number,v1out_range_vdc,v2out_vdc,v3out_vdc,package_style,quality,ripple_noise,store_view_code,errors
MEF1S0303SP3C,,66,460,3.135-3.465,"Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,11,power_store_view,
MEF1S2405SPC,,73,55,"22.8 to 25.2","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,13,power_store_view,
MEF1S2403SPC,,69,60,"22.8 to 25.2","Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,13,power_store_view,
MEF1S1205SPC,,73.5,115,"11.4 to 12.6","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,10,power_store_view,
MEF1S1203SPC,,69,120,"11.4 to 12.6","Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,11,power_store_view,
MEF1S0505SPC,,73,275,"4.75 to 5.25","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,10,power_store_view,
MEF1S0503SPC,,68.5,290,"4.75 to 5.25","Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,8,power_store_view,
MEF1S0303SPC,,66,460,3.135-3.465,"Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,11,power_store_view,
MEV1S1209SC,,86,96,"10.8 to 13.2","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,8,power_store_view,
NM485D6S5MC,,58,280,"4.5 to 5.5","Surface Mount",0.16,,0.8,5,5,," +/-6",,SMD,"UL60950, ANSI/AAMI ES60601-1",25,power_store_view,
NMTTLD6S5MC,,58,280,"4.5 to 5.5","Surface Mount",0.16,,0.8,5,5,," +/-6",,SMD,"UL60950, ANSI/AAMI ES60601-1",25,power_store_view,
MEV1S2409SC,,86.5,48,"21.6 to 26.4","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,8,power_store_view,
MEV1S2412SC,,87.5,48,"21.6 to 26.4","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,7,power_store_view,
MEV1S2415SC,,87.5,48,"21.6 to 26.4","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,7,power_store_view,
MGJ6T05150505MC,,78,1500,"4.5 to 9","Surface Mount",0.24,0.24,6,15,15,," -10",,SMD,"UL60950, ES60101-1",120,power_store_view,
MGJ6T12150505MC,,81,600,"9 to 18","Surface Mount",0.24,0.24,6,15,15,," -10",,SMD,"UL60950, ES60101-1",59,power_store_view,
MGJ1D051505MPC,,63.5,320,"4.5 to 5.5","Surface Mount",0.05,0.05,1,15,15,," -5",,SMD,UL60950,15,power_store_view,
NXE1S0505MC,,67.5,303,"4.5 to 5.5","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950, ANSI/AAMI ES60601-1 ",30,power_store_view,
MEV1S1505SC,,83.5,79,"13.5 to 16.5","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,10,power_store_view,
MEV1S1509SC,,86.5,77,"13.5 to 16.5","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,8,power_store_view,
MEV1S1512SC,,87.5,76,"13.5 to 16.5","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,6,power_store_view,
MEV1S1515SC,,89,76,"13.5 to 16.5","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,6,power_store_view,
MEV1S2405SC,,84,50,"22.6 to 26.8","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,12,power_store_view,
MEV1S4805SC,,79.5,26,"43.2 to 52.8","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,19,power_store_view,
MEV1S4809SC,,82,25,"43.2 to 52.8","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,13,power_store_view,
MEV1S4812SC,,82,26,"43.2 to 52.8","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,10,power_store_view,
MEV1S4815SC,,82.5,26,"43.2 to 52.8","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,9,power_store_view,
MEJ1S2405SC,,75,55,"21.6 to 26.4","Through Hole",0.2,,1,5,5,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",23,power_store_view,
MEJ1S2409SC,,77,55,"21.6 to 26.4","Through Hole",0.111,,1,9,9,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",17,power_store_view,
MEJ1S2412SC,,78,55,"21.6 to 26.4","Through Hole",0.083,,1,12,12,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",19,power_store_view,
MEJ1S2415SC,,78,55,"21.6 to 26.4","Through Hole",0.066,,1,15,15,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",17,power_store_view,
MEV1S0515DC,,87.5,226,"4.5 to 5.5","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,8,power_store_view,
MEV1S1212SC,,88,94,"10.8 to 13.2","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,7,power_store_view,
MEV1S1215SC,,88,94,"10.8 to 13.2","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,7,power_store_view,
MER1S2405SC,,84,50,"21.6 to 26.4","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,15,power_store_view,
MER1S2409SC,,86.5,48,"21.6 to 26.4","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,10,power_store_view,
MER1S2412SC,,87.5,48,"21.6 to 26.4","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,9,power_store_view,
MER1S2415SC,,87.5,48,"21.6 to 26.4","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,9,power_store_view,
LME0305SC,,70,,"2.97 to 3.63","Through Hole",0.05,,0.25,5,5,,,,SIP,,75,power_store_view,
MGJ6T24150505MC,,83,300,"18 to 36","Surface Mount",0.24,0.24,6,15,15,," -10",,SMD,"UL60950, ES60101-1",59,power_store_view,
MEA1D0505SC,,85,233,"4.5 to 5.5","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,9,power_store_view,
MEA1D0509SC,,86.5,228,"4.5 to 5.5","Through Hole",0.056," -0.056",1,9,9,," -9",,SIP,UL60950,8,power_store_view,
MEA1D0512SC,,87,228,"4.5 to 5.5","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,6,power_store_view,
MEA1D0515SC,,87,225,"4.5 to 5.5","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,6,power_store_view,
MEA1D1205SC,,85,98,"10.8 to 13.2","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,6,power_store_view,
MEA1D1209SC,,86.5,95,"10.8 to 13.2","Through Hole",0.056," -0.056",1,9,9,," -9",,SIP,UL60950,7,power_store_view,
MEA1D1212SC,,89,93,"10.8 to 13.2","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,6,power_store_view,
MEA1D1215SC,,88,94,"10.8 to 13.2","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,5,power_store_view,
MEA1D1505SC,,84,78,"13.5 to 16.5","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,10,power_store_view,
MEA1D1509SC,,87,76,"13.5 to 16.5","Through Hole",0.056," -0.056",1,9,9,," -9",,SIP,UL60950,7,power_store_view,
MEA1D1512SC,,87.5,76,"13.5 to 16.5","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,8,power_store_view,
MEA1D1515SC,,89.5,75,"13.5 to 16.5","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,5,power_store_view,
MEA1D2405SC,,84.5,49,"21.6 to 26.4","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,6,power_store_view,
MEA1D2409SC,,87.5,47,"21.6 to 26.4","Through Hole",0.056," -0.056",1,9,9,," -9",,SIP,UL60950,7,power_store_view,
MEA1D2412SC,,87,47,"21.6 to 26.4","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,6,power_store_view,
MEA1D2415SC,,88.5,47,"21.6 to 26.4","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,3,power_store_view,
MEA1D4809SC,,82,25,"43.2 to 52.8","Through Hole",0.056," -0.056",1,9,9,," -9",,SIP,UL60950,8,power_store_view,
MEA1D4812SC,,83,25,"43.2 to 52.8","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,7,power_store_view,
MEA1D4815SC,,83.5,25,"43.2 to 52.8","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,6,power_store_view,
MEV1S0505SC,,84,233,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,20,power_store_view,
MEV1S0509SC,,86.5,227,"4.5 to 5.5","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,12,power_store_view,
MEV1S0512SC,,87,226,"4.5 to 5.5","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,10,power_store_view,
MEV1S0515SC,,87.5,225,"4.5 to 5.5","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,8,power_store_view,
MEV1S1205SC,,84,98,"10.8 to 13.2","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,12,power_store_view,
NCS6D1205C,,82,610,"9 to 36","Through Hole",0.6," -0.6",6,5,5,," -5",,DIP,UL60950,15,power_store_view,
NCS6D1212C,,86,580,"9 to 36","Through Hole",0.25," -0.25",6,12,12,," -12",,DIP,UL60950,10,power_store_view,
NCS6D1215C,,87,580,"9 to 36","Through Hole",0.2," -0.2",6,15,15,," -15",,DIP,UL60950,20,power_store_view,
NCS6D4805C,,80,160,"18 to 75","Through Hole",0.6," -0.6",6,5,5,," -5",,DIP,UL60950,50,power_store_view,
NCS6D4812C,,84,150,"18 to 75","Through Hole",0.25," -0.25",6,12,12,," -12",,DIP,UL60950,30,power_store_view,
NCS6D4815C,,84,150,"18 to 75","Through Hole",0.2," -0.2",6,15,15,," -12",,DIP,UL60950,30,power_store_view,
MEA1D0505DC,,85,232,"4.5 to 5.5","Through Hole",0.1," -0.1",1,5,5,," -5",,DIP,UL60950,12,power_store_view,
MEA1D0509DC,,86.7,227,"4.5 to 5.5","Through Hole",0.056," -0.056",1,9,9,," -9",,DIP,UL60950,9,power_store_view,
MEA1D0512DC,,87,226,"4.5 to 5.5","Through Hole",0.042," -0.042",1,12,12,," -12",,DIP,UL60950,9,power_store_view,
MEA1D0515DC,,87.5,224,"4.5 to 5.5","Through Hole",0.033," -0.033",1,15,15,," -15",,DIP,UL60950,6,power_store_view,
MEA1D1205DC,,84.5,97,"10.8 to 13.2","Through Hole",0.1," -0.1",1,5,5,," -5",,DIP,UL60950,7,power_store_view,
MEA1D1209DC,,86.5,95,"10.8 to 13.2","Through Hole",0.056," -0.056",1,9,9,," -9",,DIP,UL60950,7,power_store_view,
MEA1D1212DC,,89,93,"10.8 to 13.2","Through Hole",0.042," -0.042",1,12,12,," -12",,DIP,UL60950,6,power_store_view,
MEA1D1215DC,,88,94,"10.8 to 13.2","Through Hole",0.033," -0.033",1,15,15,," -15",,DIP,UL60950,6,power_store_view,
MEA1D1505DC,,84,78,"13.5 to 16.5","Through Hole",0.1," -0.1",1,5,5,," -5",,DIP,UL60950,9,power_store_view,
MEA1D1509DC,,87,76,"13.5 to 16.5","Through Hole",0.056," -0.056",1,9,9,," -9",,DIP,UL60950,6,power_store_view,
MEA1D1512DC,,87.5,76,"13.5 to 16.5","Through Hole",0.042," -0.042",1,12,12,," -12",,DIP,UL60950,7,power_store_view,
MEA1D1515DC,,89.5,75,"13.5 to 16.5","Through Hole",0.033," -0.033",1,15,15,," -15",,DIP,UL60950,6,power_store_view,
MEA1D2405DC,,84.5,49,"21.6 to 26.4","Through Hole",0.1," -0.1",1,5,5,," -5",,DIP,UL60950,6,power_store_view,
MEA1D2409DC,,87,48,"21.6 to 26.4","Through Hole",0.056," -0.056",1,9,9,," -9",,DIP,UL60950,8,power_store_view,
MEA1D2412DC,,87,47,"21.6 to 26.4","Through Hole",0.042," -0.042",1,12,12,," -12",,DIP,UL60950,6,power_store_view,
MEA1D2415DC,,88,47,"21.6 to 26.4","Through Hole",0.033," -0.033",1,15,15,," -15",,DIP,UL60950,6,power_store_view,
MEA1D4805SC,,80,26,"43.2 to 52.8","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,14,power_store_view,
MEV1S0505DC,,84,234,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,15,power_store_view,
MEV1S0509DC,,86.5,228,"4.5 to 5.5","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,9,power_store_view,
MEV1S0512DC,,87,228,"4.5 to 5.5","Through Hole",0.084,,1,12,12,,,,DIP,UL60950,8,power_store_view,
MEV1S1205DC,,84,98,"10.8 to 13.2","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,11,power_store_view,
MEV1S1209DC,,86,96,"10.8 to 13.2","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,8,power_store_view,
MEV1S1212DC,,88,93,"10.8 to 13.2","Through Hole",0.084,,1,12,12,,,,DIP,UL60950,7,power_store_view,
MEV1S1215DC,,88,94,"10.8 to 13.2","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,6,power_store_view,
MEV1S1505DC,,83.5,79,"13.5 to 16.5","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,11,power_store_view,
MEV1S1509DC,,86.5,77,"13.5 to 16.5","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,7,power_store_view,
MEV1S1512DC,,87.5,76,"13.5 to 16.5","Through Hole",0.084,,1,12,12,,,,DIP,UL60950,6,power_store_view,
MEV1S1515DC,,89,75,"13.5 to 16.5","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,6,power_store_view,
MEV1S2405DC,,84,50,"21.6 to 26.4","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,16,power_store_view,
MEV1S2409DC,,86.5,48,"21.6 to 26.4","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,9,power_store_view,
MEV1S2412DC,,87.5,48,"21.6 to 26.4","Through Hole",0.084,,1,12,12,,,,DIP,UL60950,7,power_store_view,
MEV1S2415DC,,87.5,48,"21.6 to 26.4","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,6,power_store_view,
MEJ1D2405SC,,76.5,55,"21.6 to 26.4","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,"UL60950, ANSI/AAMI ES60601-1 ",19,power_store_view,
NDTD1205C,,75,321,"9 to 18","Through Hole",0.3," -0.3",3,5,5,," -5",,DIP,,40,power_store_view,
NDTD1212C,,78,311,"9 to 18","Through Hole",0.125," -0.125",3,12,12,," -12",,DIP,,40,power_store_view,
NDTD1215C,,78,310,"9 to 18","Through Hole",0.1," -0.1",3,15,15,," -15",,DIP,,40,power_store_view,
NDTD2405C,,78,156,"18 to 36","Through Hole",0.3," -0.3",3,5,5,," -5",,DIP,,40,power_store_view,
NDTD2412C,,82,148,"18 to 36","Through Hole",0.125," -0.125",3,12,12,," -12",,DIP,,40,power_store_view,
NDTD2415C,,82,146,"18 to 36","Through Hole",0.1," -0.1",3,15,15,," -15",,DIP,,40,power_store_view,
NDTD4805C,,76,79,"36 to 75","Through Hole",0.3," -0.3",3,5,5,," -5",,DIP,,40,power_store_view,
NDTD4812C,,80,76,"36 to 75","Through Hole",0.125," -0.125",3,12,12,," -12",,DIP,,40,power_store_view,
NDTD4815C,,81,75,"36 to 75","Through Hole",0.1," -0.1",3,15,15,," -15",,DIP,,40,power_store_view,
MEV3S0505SC,,83,700,"4.5 to 5.5","Through Hole",0.6,,3,5,5,,,,SIP,UL60950,39,power_store_view,
MEV3S0509SC,,87,680,"4.5 to 5.5","Through Hole",0.333,,3,9,9,,,,SIP,UL60950,24,power_store_view,
MEV3S0512SC,,85.5,700,"4.5 to 5.5","Through Hole",0.25,,3,12,12,,,,SIP,UL60950,20,power_store_view,
MEV3S0515SC,,87.5,700,"4.5 to 5.5","Through Hole",0.2,,3,15,15,,,,SIP,UL60950,18,power_store_view,
MEV3S1205SC,,84,300,"10.8 to 13.2","Through Hole",0.6,,3,5,5,,,,SIP,UL60950,34,power_store_view,
MEV3S1209SC,,87.5,280,"10.8 to 13.2","Through Hole",0.333,,3,9,9,,,,SIP,UL60950,22,power_store_view,
MEV3S1212SC,,88,280,"10.8 to 13.2","Through Hole",0.25,,3,12,12,,,,SIP,UL60950,16,power_store_view,
MEV3S1215SC,,89,280,"10.8 to 13.2","Through Hole",0.2,,3,15,15,,,,SIP,UL60950,13,power_store_view,
MTC1S1203MC,,75,110,"9 to 18","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1",25,power_store_view,
MTC1S1205MC,,78.5,110,"9 to 18","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1",25,power_store_view,
MTC1S1212MC,,79,100,"9 to 18","Surface Mount",0.083,,1,12,12,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1",20,power_store_view,
MTC1S2403MC,,75.5,55,"18 to 36","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1",30,power_store_view,
MTC1S2405MC,,76.5,55,"18 to 36","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1",25,power_store_view,
MTC1S2412MC,,77,55,"18 to 36","Surface Mount",0.083,,1,12,12,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1",25,power_store_view,
NXJ1S0303MC,,69.5,400,"2.97 to 3.63","Surface Mount",0.333,,1,3.3,3.3,,,,SMD,"UL60950 & ES60601-1",75,power_store_view,
NXJ1S0305MC,,72,400,"2.97 to 3.63","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950 & ES60601-1",25,power_store_view,
NXJ1S0505MC,,73.5,250,"4.5 to 5.5","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950 & ES60601-1",20,power_store_view,
NXJ1S1205MC,,72,110,"10.8 to 13.2","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950 & ES60601-1",22,power_store_view,
NXJ1S1212MC,,71,115,"10.8 to 13.2","Surface Mount",0.083,,1,12,12,,,,SMD,"UL60950 & ES60601-1",15,power_store_view,
NXJ1S1215MC,,71,120,"10.8 to 13.2","Surface Mount",0.067,,1,15,15,,,,SMD,"UL60950 & ES60601-1",15,power_store_view,
NXE1S0303MC,,66,415,"2.97 to 3.63","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,"UL60950, ANSI/AAMI ES60601-1 ",55,power_store_view,
NXE2S0505MC,,72,542,"4.5 to 5.5","Surface Mount",0.4,,2,5,5,,,,SMD,"UL60950, ANSI/AAMI ES60601-1",55,power_store_view,
NXE2S1205MC,,77,220,"10.8 to 13.2","Surface Mount",0.4,,2,5,5,,,,SMD,"UL60950, ANSI/AAMI ES60601-1",50,power_store_view,
NXE2S1212MC,,76.5,210,"10.8 to 13.2","Surface Mount",0.167,,2,12,12,,,,SMD,"UL60950, ANSI/AAMI ES60601-1",25,power_store_view,
NXE2S1215MC,,79,205,"10.8 to 13.2","Surface Mount",0.133,,2,15,15,,,,SMD,"UL60950, ANSI/AAMI ES60601-1",30,power_store_view,
MEJ2S0303SC,,70,756,"2.97 to 3.63","Through Hole",0.606,,2,3.3,3.3,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",38,power_store_view,
MEJ2S0305SC,,74,784,"2.97 to 3.63","Through Hole",0.4,,2,5,5,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",50,power_store_view,
MEJ2S0503SC,,70,528,"4.5 to 5.5","Through Hole",0.606,,2,3.3,3.3,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",40,power_store_view,
MEJ2S0505SC,,75,503,"4.5 to 5.5","Through Hole",0.4,,2,5,5,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",43,power_store_view,
MEJ2S0509SC,,78,505,"4.5 to 5.5","Through Hole",0.222,,2,9,9,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",36,power_store_view,
MEJ2S0512SC,,77,495,"4.5 to 5.5","Through Hole",0.167,,2,12,12,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",40,power_store_view,
MEJ2S0515SC,,79,488,"4.5 to 5.5","Through Hole",0.133,,2,15,15,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",34,power_store_view,
MEJ2S1203SC,,73,207,"10.8 to 13.2","Through Hole",0.606,,2,3.3,3.3,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",43,power_store_view,
MEJ2S1205SC,,78,214,"10.8 to 13.2","Through Hole",0.4,,2,5,5,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",43,power_store_view,
MEJ2S1209SC,,79,205,"10.8 to 13.2","Through Hole",0.222,,2,9,9,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",35,power_store_view,
MEJ2S1212SC,,80,207,"10.8 to 13.2","Through Hole",0.167,,2,12,12,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",35,power_store_view,
MEJ2S1215SC,,80,205,"10.8 to 13.2","Through Hole",0.133,,2,15,15,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",32,power_store_view,
MEJ2S1505SC,,76,171,"13.5 to 16.5","Through Hole",0.4,,2,5,5,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",44,power_store_view,
MEJ2S1509SC,,78,165,"13.5 to 16.5","Through Hole",0.222,,2,9,9,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",35,power_store_view,
MEJ2S1512SC,,79,164,"13.5 to 16.5","Through Hole",0.167,,2,12,12,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",38,power_store_view,
MEJ2S1515SC,,78,166,"13.5 to 16.5","Through Hole",0.133,,2,15,15,,,,SIP,"UL60950, ANSI/AAMI ES60601-1 ",36,power_store_view,
MEU1S0315ZC,,81,371,"2.97 to 3.63",,0.067,,1,15,15,,,,ZIP,UL60950,40,power_store_view,
MTU2D1212MC,,83,190,"10.8 to 13.2","Surface Mount",0.083," -0.083",2,12,12,," -12",,SMD,UL60950,15,power_store_view,
MTU2D0505MC,,82,480,"4.5 to 5.5","Surface Mount",0.2," -0.2",2,5,5,," -5",,SMD,UL60950,30,power_store_view,
MTU2D0512MC,,85,460,"4.5 to 5.5","Surface Mount",0.083," -0.083",2,12,12,," -12",,SMD,UL60950,15,power_store_view,
MTU2S2405MC,,80,100,"21.6 to 26.4","Surface Mount",0.4,,2,5,5,,,,SMD,UL60950,30,power_store_view,
MTU2S1205MC,,80,200,"10.8 to 13.2","Surface Mount",0.4,,2,5,5,,,,SMD,UL60950,40,power_store_view,
MTU2S0524MC,,85,460,"4.5 to 5.5","Surface Mount",0.083,,2,24,24,,,,SMD,UL60950,14,power_store_view,
MTU2S0505MC,,82,480,"4.5 to 5.5","Surface Mount",0.4,,2,5,5,,,,SMD,UL60950,47,power_store_view,
MTU2S0305MC,,79,740,"2.97 to 3.63","Surface Mount",0.4,,2,5,5,,,,SMD,UL60950,53,power_store_view,
NCS3S1203SC,,77,250,"9 to 36","Through Hole",0.7,,2.31,3.3,3.3,,,,SIP,UL60950,32,power_store_view,
NCS3S1205SC,,82,305,"9 to 36","Through Hole",0.6,,3,5,5,,,,SIP,UL60950,34,power_store_view,
NCS3S1212SC,,84,300,"9 to 36","Through Hole",0.25,,3,12,12,,,,SIP,UL60950,28,power_store_view,
NCS3S1215SC,,86,300,"9 to 36","Through Hole",0.2,,3,15,15,,,,SIP,UL60950,20,power_store_view,
NCS3S4803SC,,74,124,"18 to 75","Through Hole",0.7,,2.31,3.3,3.3,,,,SIP,UL60950,22,power_store_view,
NCS3S4805SC,,80,153,"18 to 75","Through Hole",0.6,,3,5,5,,,,SIP,UL60950,36,power_store_view,
NCS3S4812SC,,81,150,"18 to 75","Through Hole",0.25,,3,12,12,,,,SIP,"UL60950
",31,power_store_view,
NCS3S4815SC,,81,149,"18 to 75","Through Hole",0.2,,3,15,15,,,,SIP,UL60950,22,power_store_view,
NCS1S2412SC,,83,50,"9 to 36","Through Hole",0.083,,1,12,12,,,,SIP,UL60950,28,power_store_view,
NCS1S2405SC,,82,50,"9 to 36","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,27,power_store_view,
NCS1S2403SC,,78.5,50,"9 to 36","Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,35,power_store_view,
NCS1S1212SC,,79,100,4.5-18,"Through Hole",0.083,,1,12,12,,,,SIP,UL60950,40,power_store_view,
NCS1S1205SC,,79,100,4.5-18,"Through Hole",0.2,,1,5,5,,,,SIP,UL60950,25,power_store_view,
NCS1S1203SC,,77,100,4.5-18,"Through Hole",0.303,,1,3.3,3.3,,,,SIP,UL60950,24,power_store_view,
NME0505DC,,69,286,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,16,power_store_view,
NME0505SC,,69,286,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,16,power_store_view,
NME0509DC,,77,260,"4.5 to 5.5","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,60,power_store_view,
NME0509SC,,77,260,"4.5 to 5.5","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,60,power_store_view,
NME0512DC,,78,256,"4.5 to 5.5","Through Hole",0.083,,1,12,12,,,,DIP,UL60950,50,power_store_view,
NME0512SC,,78,256,"4.5 to 5.5","Through Hole",0.083,,1,12,12,,,,SIP,UL60950,50,power_store_view,
NME0515DC,,80,250,"4.5 to 5.5","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,10,power_store_view,
NME0515SC,,80,250,"4.5 to 5.5","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,10,power_store_view,
NME0524DC,,80,248,"4.5 to 5.5","Through Hole",0.042,,1,24,24,,,,DIP,UL60950,140,power_store_view,
NME0524SC,,80,248,"4.5 to 5.5","Through Hole",0.042,,1,24,24,,,,SIP,UL60950,140,power_store_view,
NME1205DC,,69,117,"10.8 to 13.2","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,12,power_store_view,
NME1205SC,,69,117,"10.8 to 13.2","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,12,power_store_view,
NME1209SC,,74,115,"10.8 to 13.2","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,60,power_store_view,
NME1212DC,,76,104,"10.8 to 13.2","Through Hole",0.083,5,1,12,12,,,,DIP,UL60950,8,power_store_view,
NME1212SC,,76,104,"10.8 to 13.2","Through Hole",0.083,,1,12,12,,,,SIP,UL60950,50,power_store_view,
NME1215DC,,75,110,"10.8 to 13.2","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,40,power_store_view,
NME1215SC,,75,111,"10.8 to 13.2","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,40,power_store_view,
NME1515SC,,82,81,"13.5 to 16.5","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,150,power_store_view,
NME2405DC,,70,58,"21.6 to 26.4","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,,power_store_view,
NME2405SC,,70,58,"21.6 to 26.4","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,,power_store_view,
NME2412DC,,80,52,"21.6 to 26.4","Through Hole",0.083,,1,12,12,,,,DIP,UL60950,,power_store_view,
NME2412SC,,80,52,"21.6 to 26.4","Through Hole",0.083,,1,12,12,,,,SIP,UL60950,,power_store_view,
NME2415DC,,80,51,"21.6 to 26.4","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,,power_store_view,
NME2415SC,,80,51,"21.6 to 26.4","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,,power_store_view,
