sku,name,url_key
series_D1U-W-1600-48-Hx,D1U-W-1600-48-Hx,series-d1u-w-1600-48-hx
series_D1U-W-2000-48-Hx,D1U-W-2000-48-Hx,series-d1u-w-2000-48-hx
series_D2U5T-H3-5000-380-HU3C,D2U5T-H3-5000-380-HU3C,series-d2u5t-h3-5000-380-hu3c-1
series_DA100,DA100,series-da100
series_DA100 _2,DA100 ,series-da100-2
series_DA100J,DA100J,series-da100j
series_DBE125W,DBE-125W,series-dbe-125w
series_DBE-125W_2,DBE-125W,series-dbe-125w-1
series_DBE240W,DBE-240W,series-dbe-240w
series_DBE-240W_2,DBE-240W,series-dbe-240w-1
series_DBE-DVE,DBE-DVE,series-dbe-dve
series_DBM-20,DBM-20,series-dbm-20
series_DBQ0135_2,DBQ0135,series-dbq0135
series_DBQ0135,DBQ0135,series-dbq0135-1
series_DBQ-DVQ,DBQ-DVQ,series-dbq-dvq
series_DCA-20PC,DCA-20PC,series-dca-20pc
series_DCA5-20PC,DCA5-20PC,series-dca5-20pc
series_DDR,DDR,series-ddr
series_DLV,DLV,series-dlv
series_DM-2000,DM-2000,series-dm-2000
series_DM-2100,DM-2100,series-dm-2100
series_DM-2115,DM-2115,series-dm-2115
series_DM-3000,DM-3000,series-dm-3000
series_DM-31,DM-31,series-dm-31
series_DM-3100B,DM-3100B,series-dm-3100b
series_DM-3100L,DM-3100L,series-dm-3100l
series_DM-3100N,DM-3100N,series-dm-3100n
series_DM-3100U1,DM-3100U1,series-dm-3100u1
series_DM-3100U2-U3,DM-3100U2/U3,series-dm-3100u2-u3
series_DM-3100X,DM-3100X,series-dm-3100x
series_DM-3102A-DM-3102B,"DM-3102A, DM-3102B",series-dm-3102a-dm-3102b
series_DM-3104,DM-3104,series-dm-3104
series_DM-350,DM-350,series-dm-350
series_DM-4000-DM-4300,"DM-4000, DM-4300",series-dm-4000-dm-4300
series_DM-4100D,DM-4100D,series-dm-4100d
series_DM-4101D,DM-4101D,series-dm-4101d
series_DM-4101L,DM-4101L,series-dm-4101l
series_DM-4101N,DM-4101N,series-dm-4101n
series_DM-4105,DM-4105,series-dm-4105
series_DM-4200,DM-4200,series-dm-4200
series_DM-500,DM-500,series-dm-500
series_DM-9000,DM-9000,series-dm-9000
series_DMH-30,DMH-30,series-dmh-30
series_DM-LX3,DM-LX3,series-dm-lx3
series_DMR20,DMR20,series-dmr20
Series_DMR20-0-5,DMR20-0/5,series-dmr20-0-5
series_DMR20_2,DMR20,series-dmr20-1
series_DMR20-10-DCM,DMR20-10-DCM,series-dmr20-10-dcm
series_DMR20-1-ACV,DMR20-1-ACV,series-dmr20-1-acv-1
series_DMR20-1-FM,DMR20-1-FM,series-dmr20-1-fm-1
series_DMR20-1-TMP,DMR20-1-TMP,series-dmr20-1-tmp
Series_DMR20-4-20,DMR20-4/20,series-dmr20-4-20
series_DMS-20ACV,DMS-20ACV,series-dms-20acv
series_DMS-20-CP-Panel-Punch,DMS-20-CP Panel Punch,series-dms-20-cp-panel-punch
series_DMS-20LCD,DMS-20LCD,series-dms-20lcd
series_DMS-20LCD-0-1-DCM,DMS-20LCD-0/1-DCM,series-dms-20lcd-0-1-dcm
series_DMS-20LCD-2-3-DCM,DMS-20LCD-2/3-DCM,series-dms-20lcd-2-3-dcm
series_DMS-20LCD-4-20,DMS-20LCD-4/20,series-dms-20lcd-4-20
series_DMS-20PC,DMS-20PC,series-dms-20pc
series_DMS-20PC-0-1-2-8-DCM,DMS-20PC-0-1-2-8-DCM,series-dms-20pc-0-1-2-8-dcm
series_DMS-20PC-0-5,DMS-20PC-0/5,series-dms-20pc-0-5
