sku,name,store_view_code,dimension,dimensions_mm,i1out,operating_temperature_range,total_output_power_w,v1out_vdc,v2out_vdc,vin_range,series
VKP60MT515C,,murataps_store_view,2.3 x 2.4 x 0.5,58.4 x 61 x 12.7,12,-40 to 100,60,5,15,33 to 75,N/A
8960004,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,30,1.2,,10.2 to 13.8,N/A
8960005,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,30,1.2,,10.2 to 13.8,N/A
8960006,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,30,1.2,,10.2 to 13.8,N/A
8960007,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,30,1.2,,10.2 to 13.8,N/A
8960008,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,38,1.5,,10.2 to 13.8,N/A
8960009,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,38,1.5,,10.2 to 13.8,N/A
8960010,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,38,1.5,,10.2 to 13.8,N/A
8960011,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,38,1.5,,10.2 to 13.8,N/A
8808762,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,84,-40 to 105,1000,12,,9 to 36,ICF
8808761,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,84,-40 to 105,1000,12,,9 to 36,ICF
8808738,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,21,-40 to 105,1000,48,,9 to 36,ICF
8808737,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,21,-40 to 105,1000,48,,9 to 36,ICF
8808742,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,19,-40 to 105,1000,53,,9 to 36,ICF
8808741,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,19,-40 to 105,1000,53,,9 to 36,ICF
8913028,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8913026,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8913027,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8926620,,murataps_store_view,0.90 x 2.23 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8913030,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8913025,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8913029,,murataps_store_view,0.90 x 2.3 x 0.46,,25,-40 to 105,125,5,,10.2 to 13.8,N/A
8121341,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,18 to 36,N/A
8921341,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,18 to 36,N/A
8170003,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,38,1.5,,18 to 36,N/A
8121344,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,18 to 36,N/A
8970018,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,18 to 36,N/A
8170005,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,38,1.5,,18 to 36,N/A
8170072,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,36 to 75,N/A
8970020,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,36 to 75,N/A
8170081,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,38,1.5,,36 to 75,N/A
8170071,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,36 to 75,N/A
8970022,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,38,1.5,,36 to 75,N/A
8170082,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,38,1.5,,36 to 75,N/A
8121342,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,18 to 36,N/A
8970028,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,18 to 36,N/A
8170009,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,45,1.8,,18 to 36,N/A
8121345,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,18 to 36,N/A
8970030,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,18 to 36,N/A
8170012,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,45,1.8,,18 to 36,N/A
8170074,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,36 to 75,N/A
8970112,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,36 to 75,N/A
8170084,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,45,1.8,,36 to 75,N/A
8170073,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,36 to 75,N/A
8970113,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,45,1.8,,36 to 75,N/A
8170083,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,45,1.8,,36 to 75,N/A
8121343,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,18 to 36,N/A
8970077,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,18 to 36,N/A
8170038,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,50,2,,18 to 36,N/A
8121346,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,18 to 36,N/A
8970079,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,18 to 36,N/A
8170040,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,50,2,,18 to 36,N/A
8170076,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,36 to 75,N/A
8970081,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,36 to 75,N/A
8170086,,murataps_store_view,1.45 x 2.30 x 0.35,36.8 x 58.4 x 8.9,25,-40 to 105,50,2,,36 to 75,N/A
8170075,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,36 to 75,N/A
8970083,,murataps_store_view,1.35 x 2.22 x 0.375,34.3 x 56.4 x 9.53,25,-40 to 105,50,2,,36 to 75,N/A
8170085,,murataps_store_view,1.45 x 2.30 x 0.35,,25,-40 to 105,50,2,,36 to 75,N/A
8999504,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999510,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999502,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999505,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999511,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999503,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999507,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999549,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
8999553,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,35,-40 to 110,420,12,,36 to 75,N/A
CME0303S3C,,murataps_store_view,0.45 x 0.236 x 0.293,11.48 x 6.00 x 7.46,0.227,-40 to 85,0.75,3.3,,2.97 to 3.63,N/A
CME0305S3C,,murataps_store_view,0.45 x 0.236 x 0.293,11.48 x 6.00 x 7.46,0.15,-40 to 85,0.75,5,,2.97 to 3.63,N/A
CRE1S0305S3C,,murataps_store_view,0.454 x 0.240 x 0.294,11.53 x 6.10 x 7.46,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
8999631,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999633,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999639,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999628,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999632,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999634,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999640,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999854,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,88,-40 to 85,986,11.2,,36 to 60,DRQ
8999894,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,88,-40 to 85,986,11.2,,36 to 60,DRQ
8999889,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,88,-40 to 85,986,11.2,,36 to 60,DRQ
8999891,,murataps_store_view,2.3 x 1.45 x 0.57,58.4 x 36.8 x 14.5,88,-40 to 85,986,11.2,,36 to 60,DRQ
8999612,,murataps_store_view,2.3 x 1.45 x 1.1,58.4 x 36.8 x 27.94,43.5,-40 to 85,500,12,,38 to 75,DRQ-12/42
8999684,,murataps_store_view,2.3 x 1.45 x 1.1,58.4 x 36.8 x 27.94,50,-40 to 85,600,12,,44 to 60,DRQ-12/50
8999643,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999642,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999641,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999644,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999645,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999646,,murataps_store_view,2.3 x 0.9 x 0.52,58.4 x 22.9 x 13.2,25,-40 to 85,300,12,,36 to 75,N/A
8999647,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8999648,,murataps_store_view,2.3 x 0.9 x 0.46,58.4 x 22.9 x 11.7,25,-40 to 85,300,12,,36 to 75,N/A
8900161,,murataps_store_view,2.3 x 2.4 x 0.5,58.4 x 61 x 12.7,3,-40 to 85,162,54,,18 to 72,EMH-54/3-Q48
8900160,,murataps_store_view,2.3 x 2.4 x 0.43,58.4 x 61 x 10.92,3,-40 to 85,162,54,,18 to 72,N/A
8999048,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,25,-40 to 85,300,12,,36 to 75,N/A
8999049,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,25,-40 to 85,300,12,,36 to 75,N/A
8999044,,murataps_store_view,1.45 x 2.3 x 0.49,36.8 x 58.4 x 12.4,25,-40 to 85,300,12,,36 to 75,N/A
8999045,,murataps_store_view,1.45 x 2.3 x 0.49,36.8 x 58.4 x 12.4,25,-40 to 85,300,12,,36 to 75,N/A
8970816,,murataps_store_view,1.45 x 2.3 x 0.49,36.8 x 58.4 x 12.4,25,-40 to 85,300,12,,36 to 75,N/A
8999050,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,25,-40 to 85,300,12,,36 to 75,N/A
8999051,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,25,-40 to 85,300,12,,36 to 75,HPQ-12
8999025,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,25,-40 to 85,300,12,,36 to 75,N/A
8999046,,murataps_store_view,1.45 x 2.3 x 0.49,36.8 x 58.4 x 12.4,25,-40 to 85,300,12,,36 to 75,N/A
8999047,,murataps_store_view,1.45 x 2.3 x 0.49,36.8 x 58.4 x 12.4,25,-40 to 85,300,12,,36 to 75,N/A
8970801,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,50,-40 to 85,165,3.3,,36 to 75,N/A
8970804,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,50,-40 to 85,165,3.3,,36 to 75,N/A
8970810,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,22,-40 to 85,183,8.3,,36 to 75,N/A
8970811,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,22,-40 to 85,183,8.3,,36 to 75,N/A
8970919,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,22,-40 to 85,183,8.3,,36 to 75,N/A
8970813,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,22,-40 to 85,183,8.3,,36 to 75,N/A
8970815,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,22,-40 to 85,183,8.3,,36 to 75,N/A
8928143,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,4.5,-40 to 85,54,12,,9 to 36,IRS-Q12
8928144,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,4.5,-40 to 85,54,12,,9 to 36,IRS-Q12
8928145,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,4.5,-40 to 85,54,12,,9 to 36,IRS-Q12
8928146,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,4.5,-40 to 85,54,12,,9 to 36,IRS-Q12
8999982,,murataps_store_view,1.44 x 1.04 x 0.50,36.47 x 26.31 x 12.7,4.5,-40 to 85,54,12,,18 to 75,IRS-Q48
8999984,,murataps_store_view,1.44 x 1.50 x 0.50,36.47 x 38.1 x 12.7,4.5,-40 to 85,54,12,,18 to 75,IRS-Q48
8999983,,murataps_store_view,1.44 x 1.04 x 0.50,36.47 x 26.31 x 12.7,4.5,-40 to 85,54,12,,18 to 75,IRS-Q48
8999985,,murataps_store_view,1.44 x 1.50 x 0.50,36.47 x 38.1 x 12.7,4.5,-40 to 85,54,12,,18 to 75,IRS-Q48
8928147,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,3.3,-40 to 85,49.5,15,,9 to 36,IRS-Q12
8928148,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,3.3,-40 to 85,49.5,15,,9 to 36,IRS-Q12
8928149,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,3.3,-40 to 85,49.5,15,,9 to 36,IRS-Q12
8928150,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,3.3,-40 to 85,49.5,15,,9 to 36,IRS-Q12
8928151,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,2,-40 to 85,48,24,,9 to 36,IRS-Q12
8928154,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,2,-40 to 85,48,24,,9 to 36,IRS-Q12
8928135,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,15,-40 to 85,49.5,3.3,,9 to 36,IRS-Q12
8928136,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,15,-40 to 85,49.5,3.3,,9 to 36,IRS-Q12
8928137,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,15,-40 to 85,49.5,3.3,,9 to 36,IRS-Q12
8928138,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,15,-40 to 85,49.5,3.3,,9 to 36,IRS-Q12
8999974,,murataps_store_view,1.44 x 1.04 x 0.50,36.47 x 26.31 x 12.7,15,-40 to 85,49.5,3.3,,18 to 75,IRS-Q48
8999976,,murataps_store_view,1.44 x 1.50 x 0.50,36.47 x 38.1 x 12.7,15,-40 to 85,49.5,3.3,,18 to 75,IRS-Q48
8999975,,murataps_store_view,1.44 x 1.04 x 0.50,36.47 x 26.31 x 12.7,15,-40 to 85,49.5,3.3,,18 to 75,IRS-Q48
8999977,,murataps_store_view,1.44 x 1.50 x 0.50,36.47 x 38.1 x 12.7,15,-40 to 85,49.5,3.3,,18 to 75,IRS-Q48
8928140,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,10,-40 to 85,50,5,,9 to 36,IRS-Q12
8928141,,murataps_store_view,1.44 x 1.04 x 0.50,36.6 x 26.4 x 12.7,10,-40 to 85,50,5,,9 to 36,IRS-Q12
8928142,,murataps_store_view,1.44 x 1.50 x 0.50,36.6 x 38.1 x 12.7,10,-40 to 85,50,5,,9 to 36,IRS-Q12
8999978,,murataps_store_view,1.44 x 1.04 x 0.50,36.47 x 26.31 x 12.7,10,-40 to 85,50,5,,18 to 75,IRS-Q48
8999981,,murataps_store_view,1.44 x 1.50 x 0.50,36.47 x 38.1 x 12.7,10,-40 to 85,50,5,,18 to 75,IRS-Q48
8999979,,murataps_store_view,1.44 x 1.04 x 0.50,36.47 x 26.31 x 12.7,10,-40 to 85,50,5,,18 to 75,IRS-Q48
8999986,,murataps_store_view,1.44 x 1.50 x 0.50,36.47 x 38.1 x 12.7,10,-40 to 85,50,5,,18 to 75,IRS-Q48
MEE1S0303DC,,murataps_store_view,0.457 x 0.390 x 0.272,11.6 x  x 9.9 x 6.9,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
MEE1S0303SC,,murataps_store_view,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
MEE1S0305DC,,murataps_store_view,0.457 x 0.390 x 0.272,11.6 x  x 9.9 x 6.9,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
MEE1S0305SC,,murataps_store_view,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
MEE1S0309DC,,murataps_store_view,0.457 x 0.390 x 0.272,11.6 x  x 9.9 x 6.9,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
MEE1S0309SC,,murataps_store_view,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
MEE1S0312DC,,murataps_store_view,0.457 x 0.390 x 0.272,11.6 x  x 9.9 x 6.9,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
MEE1S0312SC,,murataps_store_view,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
MEE1S0315DC,,murataps_store_view,0.457 x 0.390 x 0.272,11.6 x  x 9.9 x 6.9,0.067,-40 to 85,1,15,,2.97 to 3.63,N/A
MEE1S0315SC,,murataps_store_view,0.454 x 0.240 x 0.394,11.53 x 6.10 x 10,0.067,-40 to 85,1,15,,2.97 to 3.63,N/A
MEJ1S0303SC,,murataps_store_view,0.774 x 0.396 x 0.498,19.65 x 10.05 x 12.65,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
MEJ1S0305SC,,murataps_store_view,0.774 x 0.396 x 0.498,19.65 x 10.05 x 12.65,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
MEJ2S0303SC,,murataps_store_view,0.774 x 0.396 x 0.498,19.65 x 10.05 x 12.65,0.606,-40 to 85,2,3.3,,2.97 to 3.63,N/A
MEJ2S0305SC,,murataps_store_view,0.774 x 0.396 x 0.498,19.65 x 10.05 x 12.65,0.4,-40 to 85,2,5,,2.97 to 3.63,N/A
MEU1S0303ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
MEU1S0305ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
MEU1S0309ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
MEU1S0312ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
MEU1S0315ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.067,-40 to 85,1,15,,2.97 to 3.63,N/A
MEU1S0503ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.303,-40 to 85,1,3.3,,4.5 to 5.5,N/A
MEU1S0505ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.2,-40 to 85,1,5,,4.5 to 5.5,N/A
MEU1S0509ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.111,-40 to 85,1,9,,4.5 to 5.5,N/A
