sku,name,current_rating,inductors_dc_current_max_a,dc_resistance_max,inductors_dc_resist_max_mom,cmc_dc_resistance_max_mom,dc_resistance_secondary_max,dimension,dimensions_mm,inductors_height_inch,as_tran_height_inch,cs_tran_height_inch,p_tran_height_inch,p_tran_interwind_capac_max_pf,isolation_voltage,as_tran_isolation_voltage_vrms,p_tran_isolation_voltage_vrms,max_leakage_inductance,p_tran_pri_dc_resist_max_om,primary_inductance_typical,rohs_6,turn_ratio,as_tran_turn_ratio,p_tran_turn_ratio,volt_time_product,store_view_code,errors
53030C,,,,0.007,,7,0.85,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.18,,,Yes,1:30,,,,murataps_store_view,
53030C,53030C,,,0.007,,7,0.85,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.18,,,Yes,1:30,,,,,
53040C,,,,0.007,,7,1.1,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.32,,,Yes,1:40,,,,murataps_store_view,
53040C,53040C,,,0.007,,7,1.1,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.32,,,Yes,1:40,,,,,
53050C,,,,0.007,,7,1.75,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.5,,,Yes,1:50,,,,murataps_store_view,
53050C,53050C,,,0.007,,7,1.75,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.5,,,Yes,1:50,,,,,
53060C,,,,0.007,,7,2.2,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.72,,,Yes,1:60,,,,murataps_store_view,
53060C,53060C,,,0.007,,7,2.2,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.72,,,Yes,1:60,,,,,
78604/16C,,,,0.85,,,,,,,,,0.25,,1000,,1000,,0.85,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/16C,78604/16C,,,0.85,,,,,,,,,0.25,,1000,,1000,,0.85,,Yes,2:01,,"2 to 1",,,
78604/1C,,,,0.6,,,,,,,,,0.25,,1000,,1000,,0.6,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/1C,78604/1C,,,0.6,,,,,,,,,0.25,,1000,,1000,,0.6,,Yes,2:01,,"2 to 1",,,
78604/2C,,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/2C,78604/2C,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,2:01,,"2 to 1",,,
78604/3C,,,,0.25,,,,,,,,,0.25,,1000,,1000,,0.25,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/3C,78604/3C,,,0.25,,,,,,,,,0.25,,1000,,1000,,0.25,,Yes,2:01,,"2 to 1",,,
78604/4C,,,,0.18,,,,,,,,,0.25,,1000,,1000,,0.18,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/4C,78604/4C,,,0.18,,,,,,,,,0.25,,1000,,1000,,0.18,,Yes,2:01,,"2 to 1",,,
78604/8C,,,,0.46,,,,,,,,,0.25,,1000,,1000,,0.46,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/8C,78604/8C,,,0.46,,,,,,,,,0.25,,1000,,1000,,0.46,,Yes,2:01,,"2 to 1",,,
78604/9C,,,,1.23,,,,,,,,,0.25,,1000,,1000,,1.23,,Yes,2:01,,"2 to 1",,murataps_store_view,
78604/9C,78604/9C,,,1.23,,,,,,,,,0.25,,1000,,1000,,1.23,,Yes,2:01,,"2 to 1",,,
1003C,,,,5,,,,,,,,,0.62,58,2000,,2000,,5,,Yes,2:01:01,,"2 to 1 to 1",,murataps_store_view,
1003C,1003C,,,5,,,,,,,,,0.62,58,2000,,2000,,5,,Yes,2:01:01,,"2 to 1 to 1",,,
53070C,,,,0.007,,7,4.5,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.98,,,Yes,1:70,,,,murataps_store_view,
53070C,53070C,,,0.007,,7,4.5,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.98,,,Yes,1:70,,,,,
53100C,,,,0.007,,7,5.6,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,2,,,Yes,1:100,,,,murataps_store_view,
53100C,53100C,,,0.007,,7,5.6,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,2,,,Yes,1:100,,,,,
53125C,,,,0.007,,7,7.5,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,3,,,Yes,1:125,,,,murataps_store_view,
53125C,53125C,,,0.007,,7,7.5,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,3,,,Yes,1:125,,,,,
53150C,,,,0.007,,7,17.5,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,4.5,,,Yes,1:150,,,,murataps_store_view,
53150C,53150C,,,0.007,,7,17.5,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,4.5,,,Yes,1:150,,,,,
